"from" "to" "weight"
"1" "PIMDMT" "PISTEM" 2
"2" "PIMDMT" "DRUIDI" 1
"3" "PIMDMT" "IMMOMC" 2
"4" "PISTEM" "DRUIDI" 2
"5" "PISTEM" "IMMOMC" 1
"6" "DRUIDI" "IMMOMC" 1
"7" "ACTIVE" "PROGENNANOLAB" 1
"8" "ACTIVE" "REGENBIOTECH" 1
"9" "ACTIVE" "TESMAS" 1
"10" "ACTIVE" "IMMOMC" 1
"11" "PROGENNANOLAB" "REGENBIOTECH" 4
"12" "PROGENNANOLAB" "IDEAS" 1
"13" "REGENBIOTECH" "IDEAS" 2
"14" "REGENBIOTECH" "TESMAS" 1
